#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
83,"Wind It Up","Gwen Stefani",47,120,"","","The Sweet Escape",2006-12-01,03:09,96,90,31,0,95,0,30,-7,G#/A♭,4,2022-02-14,3sY5uzQVWMvtHaW6mKwq0l,"Interscope",4B,USUM70614830
84,"Like This (feat. Eve)","Kelly Rowland, Eve",51,178,"","","Ms. Kelly",2007-06-22,03:35,68,73,0,0,49,20,0,-6,C♯/D♭,4,2022-02-14,3sfydNh0QQAdnIAtDVG16H,"Music World Music/Columbia",3B,USSM10700599
85,"Welcome to the Black Parade","My Chemical Romance",80,97,"emo, pop punk","Rock, Pop","The Black Parade",2006-10-20,05:11,22,91,0,0,24,0,20,-4,D,4,2022-02-14,5wQnmLuC1W7ATsArWACrgW,"Reprise",10B,USRE10602613
86,"Let Me Think About It","Ida Corr, Fedde Le Grand",68,129,"","","Singled Out",2013-05-03,02:31,76,75,0,7,72,0,10,-3,C minor,4,2022-02-14,4LjfIjS8iweFCPdKxLnEoV,"Lifted House",5A,DKUCA0700015
87,"Everything","Michael Bublé",71,123,"christmas","Pop","Call Me Irresponsible",2007-04-27,03:32,69,69,39,0,49,0,0,-5,F#/G♭ minor,4,2022-02-14,4T6HLdP6OcAtqC6tGnQelG,"143/Reprise",11A,USRE10700317
88,"If You Don't Mean It","Dean Geyer",22,105,"","","Rush",2007-05-26,03:12,44,78,0,0,46,0,30,-4,A minor,4,2022-02-14,6obZ9LWYBVGjX7l8qrkmbV,"Sony BMG Music Entertainment",8A,AUBM00700354
89,"Don't Miss You","Amy Pearson",21,183,"bassline, uk garage","Electronic","Who I Am",2007-11-20,03:19,47,82,8,0,54,0,30,-4,G,4,2022-02-14,012Q7KJWBkuLKsuuveiN1w,"Columbia",9B,AUBM00700235
90," The Take Over, The Breaks Over ","Fall Out Boy",63,150,"emo, pop punk","Rock, Pop","Infinity On High",2007-01-01,03:33,61,92,1,0,69,0,0,-3,A,4,2022-02-14,3rG8ZkmKHb4Ms6CsSzEITv,"Island Records",11B,USUM70700329
91,"Loud","Shannon Noll",15,174,"","","What Matters The Most",2009-05-01,03:11,37,69,0,0,18,0,0,-4,A,4,2022-02-14,719fGqEAqBb9J7WdDdIP6f,"Sony BMG Music Entertainment",11B,AUBM00700664
92,"Buy U a Drank (Shawty Snappin') (feat. Yung Joc)","T-Pain, Yung Joc",77,80,"crunk, southern hip hop","Hip Hop","Epiphany (Expanded Edition)",2007-06-05,03:47,69,55,1,0,61,10,0,-8,C♯/D♭,4,2022-02-14,1tkMs9wDPknQ3ZHcKDw1ES,"Jive/Legacy",3B,USJI10700121
93,"I Love It","Sneaky Sound System",43,125,"","","Sneaky Sound System",2006-00-00,03:46,69,71,0,0,77,0,0,-4,E minor,4,2022-02-14,59SHL9A7Tw7yYLWf2MSKRt,"Whack Records",9A,AUQK00600014
94,"I Got It From My Mama","will.i.am",50,119,"","","Songs About Girls",2007-01-01,04:01,89,78,10,0,88,0,0,-6,F#/G♭,4,2022-02-14,1z7FW0nlEBGtQWQ19kz7qp,"Interscope",2B,USUM70745336
95,"I'm Your Gummibear","Gummibär",28,128,"children's music","Folk, Pop","I'm Your Funny Bear",2009-01-01,03:16,94,80,3,0,99,0,0,-7,A minor,4,2022-02-14,7tEbv0PMX5yCsQLDF4mxDi,"Universal Music Australia Pty. Ltd.",8A,DES310700118
96,"Wake Up Call","Maroon 5",51,164,"pop","Pop","It Won't Be Soon Before Long (International Version)",2007-01-01,03:21,63,95,3,0,97,0,0,-3,E minor,4,2022-02-14,1BBotmY58mifFRvQvhFpjW,"Interscope Records*",9A,USUM70731561
97,"Clothes Off!!","Gym Class Heroes",47,115,"","","As Cruel as School Children",2006-07-25,03:55,76,69,2,0,74,10,30,-6,B,4,2022-02-14,6miqdoICzUXCL5UHCuucjK,"Decaydance/Fueled By Ramen/ATL",1B,USAT20615049
98,"Not Ready to Make Nice","The Chicks",63,84,"country","Country","Taking The Long Way",2006-05-23,03:57,43,55,13,0,29,0,10,-4,F#/G♭,4,2022-02-14,6LCEyZZHFF4ebF1Mike1s5,"Open Wide/Columbia",2B,USSM10601030
99,"Tell Me (feat. Christina Aguilera)","Diddy, Christina Aguilera",48,99,"hip hop, east coast hip hop","Hip Hop","Press Play",2006-10-13,04:06,55,94,24,0,33,20,50,-5,G#/A♭,4,2022-02-14,7aRNccA1RsVl7lD7steC5N,"Bad Boy Records",4B,USBB40610592
100,"Better Than","John Butler Trio",52,108,"","","Grand National",2007-03-24,03:29,63,80,3,0,77,0,10,-6,G,4,2022-02-14,5XYb6UnDIUvulbuiAKImNa,"Jarrah Records",9B,USAT20700498
