#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
31,"Part Of Me","Katy Perry",73,130,"pop","Pop","Teenage Dream: The Complete Confection",2012-03-12,03:36,68,92,0,0,77,0,0,-5,F,4,2019-09-18,1nZzRJbFvCEct3uzu04ZoL,"Capitol Records",7B,USCA21102809
32,"Young, Wild & Free (feat. Bruno Mars)","Snoop Dogg, Wiz Khalifa, Bruno Mars",62,95,"g-funk, west coast hip hop, gangster rap, hip hop, old school hip hop, rap","Hip Hop, R&B","Mac and Devin Go To High School (Music From and Inspired By The Movie)",2011-12-09,03:27,72,66,5,0,53,10,10,-6,C,4,2024-08-11,2g7uRZ68eLtv74XrxgdT2q,"Rostrum/Atlantic",8B,USAT21102232
33,"We Are Never Ever Getting Back Together","Taylor Swift",67,86,"","","Red",2012-10-22,03:11,63,68,1,0,75,0,10,-6,G,4,2024-08-11,7AEAGTc8cReDqcbPoY9gwo,"Taylor Swift",9B,USCJY1231018
34,"As Long As You Love Me","Justin Bieber, Big Sean",67,140,"","","Believe (Deluxe Edition)",2012-06-15,03:49,57,87,8,0,61,10,30,-3,C minor,4,2024-08-11,0pwYLVXVknPSGUQb39cePC,"RBMG/Def Jam",5A,USUM71205320
35,"Turn Me On (feat. Nicki Minaj)","David Guetta, Nicki Minaj",64,128,"edm","Electronic","Nothing but the Beat 2.0",2011-08-24,03:19,71,79,5,0,41,0,50,-2,G#/A♭,4,2024-08-11,6JOlNkT0QdHeZB0wPbI9IR,"Parlophone (France)",4B,GB28K1100029
36,"Moves Like Jagger - Studio Recording From  The Voice  Performance","Maroon 5, Christina Aguilera",74,128,"pop","Pop","Hands All Over",2010-00-00,03:21,72,76,1,0,62,0,30,-4,B minor,4,2024-08-11,7LcfRTgAVTs5pQGEQgUEzN,"Interscope Records*",10A,USUM71109132
37,"Blow Me","P!nk",65,114,"","","The Truth About Love",2012-09-18,04:15,60,92,0,0,73,0,20,-3,G,4,2019-09-18,4k80K0b6KZ2QjAYkXON7q6,"RCA Records Label",9B,USRC11200669
38,"Good Time","Carly Rae Jepsen, Owl City",0,126,"","","Kiss (Deluxe)",2012-09-18,03:26,57,87,2,0,69,10,30,-5,D#/E♭,4,2024-08-11,6MU8zM4uDyRnWTIi5sqt7e,"604 Records Inc.",5B,USUM71206288
39,"Give Your Heart a Break","Demi Lovato",73,123,"","","Unbroken",2011-01-01,03:25,65,70,23,0,57,0,10,-3,F#/G♭,4,2019-09-18,3sP3c86WFjOzHHnbhhZcLA,"Hollywood Records",2B,USHR11132994
40,"Ni**as In Paris","JAY-Z, Kanye West",52,140,"hip hop, east coast hip hop, rap","Hip Hop","Watch The Throne (Deluxe)",2011-08-12,03:39,79,86,12,0,74,30,20,-6,C♯/D♭,4,2024-08-11,0Bh5fftQH3Nnr5sH3I9G5o,"Roc Nation/RocAFella/IDJ",3B,USUM71111621
41,"The One That Got Away","Katy Perry",73,134,"pop","Pop","Teenage Dream: The Complete Confection",2012-03-12,03:47,69,79,0,0,86,0,20,-4,C♯/D♭ minor,4,2019-09-18,3oL3XRtkP1WVbMxf7dtTdu,"Capitol Records",12A,USCA21001266
42,"Feel So Close - Radio Edit","Calvin Harris",81,128,"edm","Electronic","18 Months",2012-10-29,03:26,71,92,0,1,92,0,20,-3,G,4,2019-09-18,1gihuPhrLraKYrJMAEONyc,"Columbia",9B,GBARL1100748
43,"Someone Like You","Adele",81,135,"soft pop","Pop","21",2011-01-24,04:45,56,32,89,0,29,0,10,-8,A,4,2024-08-11,3bNv3VuUOKgrf5hu3YcuRo,"XL Recordings",11B,GBBKS1000351
44,"Scream","USHER",69,128,"r&b","R&B","Looking 4 Myself (Expanded Edition)",2012-06-12,03:54,62,86,0,0,57,10,10,-5,G minor,4,2019-09-18,12eMQUn2GzfsfsQLH53M19,"RCA Records Label",6A,USRC11200367
45,"Rack City","Tyga",2,99,"","","Careless World: Rise Of The Last King",2012-01-01,03:23,93,34,4,0,27,30,10,-11,C♯/D♭,4,2019-09-18,0srwKuJPH8yBzzFUJMBQM2,"Cash Money Records/Motown Records",3B,USCM51200057
46,"Domino","Jessie J",68,127,"","","Who You Are (Platinum Edition)",2011-01-01,03:51,76,55,1,0,79,0,0,-5,G,4,2019-09-18,6MAdEUilV2p9RQUqE5bMAK,"Lava Music/Republic Records",9B,USUM71113573
47,"Gangnam Style (강남스타일)","PSY",75,132,"k-pop","Pop","Gangnam Style (강남스타일)",2012-01-01,03:39,73,94,0,0,75,20,0,-3,B minor,4,2019-09-18,03UrZgTINDqvnUMbbIMhql,"Silent Records/Universal Republic Records",10A,USUM71210283
48,"International Love (feat. Chris Brown)","Pitbull, Chris Brown",81,120,"r&b","R&B","Planet Pit (Deluxe Version)",2011-06-17,03:47,67,86,1,0,65,0,30,-3,C minor,4,2019-09-18,62zFEHfAYl5kdHYOivj4BC,"Mr.305/Polo Grounds Music/J Records",5A,USJAY1100015
49,"Home","Phillip Phillips",70,121,"folk pop","Folk, Pop","The World From The Side Of The Moon",2012-01-01,03:30,61,83,3,0,33,0,10,-6,C,4,2019-09-18,1EAgPzRbK9YmdOESSMUm6P,"19 Recordings/Interscope",8B,QMTM61200272
50,"Without You (feat. Usher)","David Guetta, USHER",70,128,"edm, r&b","Electronic, R&B","Nothing but the Beat 2.0",2011-08-24,03:28,61,61,23,0,40,0,10,-4,D,4,2024-08-11,1tAutlhI9FwnKn7fVgmd5P,"Parlophone (France)",10B,GB28K1100030
51,"Ass Back Home (feat. Neon Hitch)","Gym Class Heroes, Neon Hitch",64,130,"","","The Papercut Chronicles II",2011-11-11,03:42,72,84,13,0,65,0,10,-4,A#/B♭,4,2019-09-18,3bfqkspKABT4pPicm6wC9F,"Decaydance/Fueled By Ramen",6B,USAT21102797
52,"Wanted","Hunter Hayes",63,170,"country","Country","Hunter Hayes (Encore)",2011-00-00,03:48,42,48,27,0,30,0,0,-8,C,4,2019-09-18,0p1BcEcYVO3uk4KDf3gzkY,"Atlantic Records",8B,USAT21101196
53,"Drunk On You","Luke Bryan",68,144,"country, acoustic country","Country, Folk","Tailgates & Tanlines",2011-01-01,03:33,56,87,17,0,48,0,10,-4,A,4,2024-08-11,3kv6omImmKEfOVJWjstusF,"Capitol Nashville",11B,USCN11100147
54,"No Lie","2 Chainz, Drake",54,131,"rap, southern hip hop","Hip Hop","Based On A T.R.U. Story (Deluxe)",2012-01-01,03:57,63,67,2,0,61,10,30,-6,F#/G♭ minor,4,2019-09-18,6j9iyrrmqWlQZ5SD1hSTaq,"Def Jam Recordings",11A,USUM71204666
55,"Want U Back","Cher Lloyd",61,98,"","","Sticks & Stones",2012-10-02,03:34,69,89,6,0,56,0,50,-3,A,4,2019-09-18,6E11E0lT5Zy7yb6iT3y8DN,"Syco Music UK",11B,GBHMU1100387
56,"Don't Wake Me Up","Chris Brown",62,128,"r&b","R&B","Fortune (Expanded Edition)",2012-07-03,03:42,60,69,5,0,21,0,10,-5,G minor,4,2019-09-18,18VfHIPaCo0s6FTi1Fnp6T,"RCA Records Label",6A,USRC11200464
57,"Dance (A$$) Remix","Big Sean, Nicki Minaj",61,160,"","","Finally Famous",2011-01-01,03:40,79,73,3,0,72,30,0,-7,B minor,4,2024-08-11,3ZAMtgYJFoHwJjFkhkXqKr,"Getting Out Our Dreams Inc. (G.O.O.D.) Music / IDJ",10A,USUM71116321
58,"Springsteen","Eric Church",78,104,"country, acoustic country","Country, Folk","Chief",2011-01-01,04:23,69,81,10,0,93,0,10,-6,D,4,2019-09-18,05ZACkzW8YbRq3eFgIfSNB,"EMI Records Nashville",10B,USCN11100116
59,"Brokenhearted","Karmin",60,120,"","","Hello",2012-05-07,03:47,77,77,1,0,89,0,0,-3,C♯/D♭ minor,4,2024-08-11,4urcG6Nfubqsuqy3juMjBi,"Epic",12A,USSM11200212
60,"Not Over You","Gavin DeGraw",63,142,"","","Sweeter",2011-09-19,03:38,63,89,26,0,36,0,10,-5,A#/B♭,4,2024-08-11,6j7hih15xG2cdYwIJnQXsq,"RCA Records Label",6B,USJAY1100058
61,"Stereo Hearts (feat. Adam Levine)","Gym Class Heroes, Adam Levine",83,90,"","","The Papercut Chronicles II",2011-11-11,03:30,65,80,3,0,80,10,20,-3,A,4,2019-09-18,0qOnSQQF0yzuPWsXrQ9paz,"Decaydance/Fueled By Ramen",11B,USAT21101071
62,"Back in Time - featured in  Men In Black 3 ","Pitbull",57,127,"","","Global Warming: Meltdown (Deluxe Version)",2012-00-00,03:27,73,91,0,0,74,0,30,-5,C,4,2024-08-11,3eQlGeyuSibgAGPEJugaDW,"Mr.305/Polo Grounds Music/RCA Records",8B,USRC11200227
63,"Work Out","J. Cole",80,93,"rap","Hip Hop","Cole World: The Sideline Story",2011-09-27,03:55,83,43,5,0,22,10,30,-7,D,4,2019-09-18,2wAJTrFhCnQyNSD3oUgTZO,"Roc Nation LLC",10B,USQX91100801
64,"Rumour Has It","Adele",66,120,"soft pop","Pop","21",2011-01-24,03:43,61,75,62,0,57,0,10,-5,C,4,2024-08-11,5mFMb5OHI3cN0UjITVztCj,"XL Recordings",8B,GBBKS1000349
65,"Let's Go (feat. Ne-Yo)","Calvin Harris, Ne-Yo",66,128,"edm","Electronic","18 Months",2012-10-29,03:52,71,88,1,1,88,0,20,-3,E minor,4,2019-09-18,4wkQmYpAaMe41Rc3sYZ7Vz,"Columbia",9A,GBARL1200331
66,"Good Girl","Carrie Underwood",58,129,"country","Country","Blown Away",2012-05-01,03:25,62,84,3,0,74,0,10,-3,C minor,4,2019-09-18,20DfkHC5grnKNJCzZQB6KC,"19 Recordings Limited / Arista Nashville",5A,GBCTA1200022
67,"Pontoon","Little Big Town",62,96,"country","Country","Tornado",2013-01-01,03:32,72,82,41,0,87,0,20,-6,A,4,2019-09-18,2Gy3XMLbBxACZ4tXdFRGr7,"Capitol Records Nashville",11B,USCN11200065
68,"Ho Hey","The Lumineers",50,80,"folk pop, indie folk","Folk, Pop, Rock","The Lumineers (Deluxe Edition)",2013-08-20,02:43,69,47,79,0,35,0,0,-9,C,4,2024-08-11,62I2nBlAxqZMrPQgrAg8nk,"Dualtone Music Group",8B,USDMG1260805
69,"Paradise","Coldplay",84,140,"","","Mylo Xyloto",2011-10-24,04:38,45,59,5,0,21,0,0,-7,F,4,2019-09-18,6nek1Nin9q48AVZcWs9e9D,"Parlophone UK",7B,GBAYE1101143
70,"Blown Away","Carrie Underwood",62,137,"country","Country","Blown Away",2012-05-01,04:00,53,84,9,0,39,0,0,-3,A minor,4,2019-09-18,0vFMQi8ZnOM2y8cuReZTZ2,"19 Recordings Limited / Arista Nashville",8A,GBCTA1200038
71,"Rolling in the Deep","Adele",80,105,"soft pop","Pop","21",2011-01-24,03:48,73,77,14,0,51,0,0,-5,G#/A♭,4,2024-08-11,4OSBTYWVwsQhGLF9NHvIbR,"XL Recordings",4B,GBBKS1000335
72,"Climax","USHER",60,136,"r&b","R&B","Looking 4 Myself (Expanded Edition)",2012-06-12,03:52,65,48,55,0,33,0,10,-9,G#/A♭,4,2019-09-18,5pyVqlqThcxI7tPDjHIzPh,"RCA Records Label",4B,USRC11200142
73,"Work Hard, Play Hard","Wiz Khalifa",44,140,"rap","Hip Hop","O.N.I.F.C.",2012-12-04,03:39,79,67,4,0,49,0,30,-4,B,4,2024-08-11,5OOxMbmz5txzE78oZbGQhY,"Rostrum/Atlantic",1B,USAT21201652
74,"Let Me Love You (Until You Learn To Love Yourself)","Ne-Yo",69,125,"","","R.E.D. (Deluxe Edition)",2012-01-01,04:11,66,68,25,0,25,0,30,-7,F,4,2019-09-18,4kte3OcW800TPvOVgrLLj8,"Island Def Jam/Motown",7B,USUM71207198
