artist_norm,track_norm,peak_position,first_week,last_week,weeks_on,genre,track_id,artist_popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,inverse_rank,top10,release_q,recession_t,event_time_k
amy winehouse,rehab,9,2007-03-31,2007-09-15,20,Soul,7E4dtl5gWROiMKibvedh0i,47.0,0.0434,0.432,221267.0,0.777,2.45e-05,C,0.174,-5.471,Major,0.0866,144.469,4/4,0.432,92,1,2007Q1,0,-3
amy winehouse,you know im no good,77,2007-03-31,2008-03-01,13,Soul,4zQuwW24dweWcaX0fEJkP2,74.0,0.0132,0.705,256947.0,0.806,0.00428,A,0.0701,-3.607,Major,0.0309,103.383,4/4,0.734,24,0,2007Q1,0,-3
anais,lo que son las cosas,79,2006-04-15,2006-04-29,3,unknown,,60.0,0.0568,0.595,231400.0,0.756,0.0,C,0.132,-5.036,Major,0.0447,124.986,4/4,0.527,22,0,2006Q2,0,-6
andrew seeley,getcha head in the game,23,2006-02-04,2006-03-04,5,unknown,,60.0,0.0568,0.595,231400.0,0.756,0.0,C,0.132,-5.036,Major,0.0447,124.986,4/4,0.527,78,0,2006Q1,0,-7
andrew seeley vanessa anne hudgens,what ive been looking for,67,2006-02-11,2006-02-11,1,unknown,,60.0,0.0568,0.595,231400.0,0.756,0.0,C,0.132,-5.036,Major,0.0447,124.986,4/4,0.527,34,0,2006Q1,0,-7
angels airwaves,the adventure,55,2006-04-29,2006-07-29,14,Rock,2uuTo18bRgXj3RvlbZKMvU,55.0,0.0518,0.539,312533.0,0.857,0.00119,B,0.128,-5.924,Major,0.0455,144.129,4/4,0.209,46,0,2006Q2,0,-6
annasophia robb,keep your mind wide open,90,2007-03-10,2007-03-10,1,unknown,,60.0,0.0568,0.595,231400.0,0.756,0.0,C,0.132,-5.036,Major,0.0447,124.986,4/4,0.527,11,0,2007Q1,0,-3
annie lennox,many rivers to cross,80,2008-04-26,2008-04-26,1,unknown,,60.0,0.0568,0.595,231400.0,0.756,0.0,C,0.132,-5.036,Major,0.0447,124.986,4/4,0.527,21,0,2008Q2,1,2
anthony hamilton,cant let go,71,2006-03-18,2006-07-29,19,R&B,4mBy2d5IY5rQkidZBKXxfT,52.0,0.582,0.65,232533.0,0.501,0.0,A#,0.112,-6.905,Major,0.0963,127.984,4/4,0.374,30,0,2006Q1,0,-7
anthony hamilton,cant let go,71,2006-03-18,2006-07-29,19,Soul,4mBy2d5IY5rQkidZBKXxfT,52.0,0.582,0.65,232533.0,0.501,0.0,A#,0.112,-6.905,Major,0.0963,127.984,4/4,0.374,30,0,2006Q1,0,-7
anya marina,whatever you like,88,2009-11-28,2009-11-28,1,unknown,,60.0,0.0568,0.595,231400.0,0.756,0.0,C,0.132,-5.036,Major,0.0447,124.986,4/4,0.527,13,0,2009Q4,0,8
apocalyptica featuring adam gontier,i dont care,78,2008-11-01,2009-02-14,16,unknown,,60.0,0.0568,0.595,231400.0,0.756,0.0,C,0.132,-5.036,Major,0.0447,124.986,4/4,0.527,23,0,2008Q4,1,4
artists stand up to cancer,just stand up,11,2008-09-13,2008-10-04,4,unknown,,60.0,0.0568,0.595,231400.0,0.756,0.0,C,0.132,-5.036,Major,0.0447,124.986,4/4,0.527,90,0,2008Q3,1,3
ashanti,the way that i love you,37,2008-03-22,2008-07-19,18,Dance,7LFcepuZqkpghbKnslItnx,48.0,0.0263,0.561,267680.0,0.897,0.000551,D#,0.0622,-4.011,Minor,0.111,79.687,4/4,0.527,64,0,2008Q1,1,1
ashanti,the way that i love you,37,2008-03-22,2008-07-19,18,R&B,7LFcepuZqkpghbKnslItnx,49.0,0.0263,0.561,267680.0,0.897,0.000551,D#,0.0622,-4.011,Minor,0.111,79.687,4/4,0.527,64,0,2008Q1,1,1
ashanti,the way that i love you,37,2008-03-22,2008-07-19,18,Hip-Hop,7LFcepuZqkpghbKnslItnx,49.0,0.0263,0.561,267680.0,0.897,0.000551,D#,0.0622,-4.011,Minor,0.111,79.687,4/4,0.527,64,0,2008Q1,1,1
asher roth,i love college,12,2009-02-28,2009-06-20,17,Indie,1akgiRM3mN2nxu2AX6ACCW,64.0,0.107,0.708,241933.0,0.815,0.0,G#,0.326,-4.044,Major,0.25,86.493,4/4,0.657,89,0,2009Q1,1,5
